"ape" "rmse" "size" "error" "method"
"1" 3.89622887071997 0.652527441629066 50 0.5 "RW"
"2" 4.41358439296683 0.688483203047072 50 0.5 "RW"
"3" 3.95875365819669 0.640486179138733 50 0.5 "RW"
"4" 3.66563714280955 0.585116058186527 50 0.5 "RW"
"5" 3.76870676223584 0.583536496999072 50 0.5 "RW"
"6" 3.91871197724727 0.616787096044555 50 0.5 "RW"
"7" 3.67788664168735 0.586744096179092 50 0.5 "RW"
"8" 3.88240705251453 0.590637425822854 50 0.5 "RW"
"9" 4.22560710644839 0.666958290926758 50 0.5 "RW"
"10" 3.49517434250691 0.562112477884751 50 0.5 "RW"
"11" 3.53378949824395 0.578675757785447 50 0.5 "RW"
"12" 3.76565516974026 0.600674304127541 50 0.5 "RW"
"13" 3.67400866995508 0.590738901881022 50 0.5 "RW"
"14" 3.91971252897998 0.616517307761015 50 0.5 "RW"
"15" 3.9701090145142 0.610280831268256 50 0.5 "RW"
"16" 4.05371016741907 0.633533553040464 50 0.5 "RW"
"17" 3.34786793713278 0.543233786975972 50 0.5 "RW"
"18" 3.92117432903219 0.566773811918366 50 0.5 "RW"
"19" 3.6198283297776 0.580354343484365 50 0.5 "RW"
"20" 3.62891746616304 0.586659658305764 50 0.5 "RW"
"21" 4.04861618896838 0.623163163498827 50 0.5 "RW"
"22" 3.9315668514397 0.599328654315286 50 0.5 "RW"
"23" 3.42783206223659 0.547894419634605 50 0.5 "RW"
"24" 4.00276309646345 0.626236676237229 50 0.5 "RW"
"25" 4.22559852420865 0.636543884278116 50 0.5 "RW"
"26" 4.16248076097936 0.661618698911332 50 0.5 "RW"
"27" 3.59939597242022 0.565539285450196 50 0.5 "RW"
"28" 3.49031851059114 0.562257777869286 50 0.5 "RW"
"29" 3.91494476164382 0.60825491682288 50 0.5 "RW"
"30" 3.46405434084862 0.579750020821683 50 0.5 "RW"
"31" 3.93946606329838 0.591505685386473 50 0.5 "RW"
"32" 3.94765594872309 0.641990071526193 50 0.5 "RW"
"33" 3.92923199557861 0.611890601118759 50 0.5 "RW"
"34" 3.50395984913575 0.552388777562683 50 0.5 "RW"
"35" 4.0360872428082 0.619816433351449 50 0.5 "RW"
"36" 4.01064330421847 0.637154160264594 50 0.5 "RW"
"37" 4.02560336612438 0.633230168599767 50 0.5 "RW"
"38" 4.0742683730548 0.614937850829914 50 0.5 "RW"
"39" 3.94023441650963 0.610357862506987 50 0.5 "RW"
"40" 3.93953137633592 0.601299334318242 50 0.5 "RW"
"41" 3.98276612767954 0.608698921778408 50 0.5 "RW"
"42" 3.77262960798497 0.5904804241965 50 0.5 "RW"
"43" 3.87330582712168 0.603189874061189 50 0.5 "RW"
"44" 3.94583641769049 0.616447047632636 50 0.5 "RW"
"45" 3.45103732176963 0.558908843002706 50 0.5 "RW"
"46" 3.51469674384382 0.560225480416678 50 0.5 "RW"
"47" 4.11370132608625 0.655087509750426 50 0.5 "RW"
"48" 3.76118212356402 0.62689902184591 50 0.5 "RW"
"49" 3.72790887164661 0.593049714115784 50 0.5 "RW"
"50" 3.59575903306628 0.557246562211962 50 0.5 "RW"
"51" 3.87602690295055 0.587951510781884 50 0.5 "RW"
"52" 3.58350254253266 0.557649510106882 50 0.5 "RW"
"53" 3.56676081163893 0.594037776890088 50 0.5 "RW"
"54" 3.55656227822919 0.541833267727341 50 0.5 "RW"
"55" 3.697903893663 0.55865790131768 50 0.5 "RW"
"56" 3.65952562926017 0.574951656497477 50 0.5 "RW"
"57" 3.63416780861917 0.593800689707249 50 0.5 "RW"
"58" 3.93193815699951 0.594759094250274 50 0.5 "RW"
"59" 4.8218024696262 0.738033732205927 50 0.5 "RW"
"60" 3.97416070289542 0.611098141655066 50 0.5 "RW"
"61" 4.13414358493797 0.628299036321349 50 0.5 "RW"
"62" 3.71072981679563 0.57287724487588 50 0.5 "RW"
"63" 3.27499993297405 0.554978862732217 50 0.5 "RW"
"64" 3.90224973899005 0.608108029824349 50 0.5 "RW"
"65" 4.12188385144887 0.666899064485953 50 0.5 "RW"
"66" 3.71743877918497 0.566826230589083 50 0.5 "RW"
"67" 3.92497688713742 0.626305661737179 50 0.5 "RW"
"68" 3.43394771470475 0.563405019172825 50 0.5 "RW"
"69" 3.7622401904821 0.592971243397359 50 0.5 "RW"
"70" 3.8565268778541 0.614694361163065 50 0.5 "RW"
"71" 4.12892558669618 0.631263260197312 50 0.5 "RW"
"72" 4.00618708575372 0.628673699899103 50 0.5 "RW"
"73" 3.4075534267849 0.563431603264833 50 0.5 "RW"
"74" 3.28566065733219 0.539571100724666 50 0.5 "RW"
"75" 3.6463179210546 0.586588344263721 50 0.5 "RW"
"76" 4.49184790514233 0.674163877778402 50 0.5 "RW"
"77" 3.70899141362376 0.580550133896601 50 0.5 "RW"
"78" 3.20470512271056 0.521569177148981 50 0.5 "RW"
"79" 3.93524142442798 0.607365203054365 50 0.5 "RW"
"80" 4.28542383507816 0.647450398170831 50 0.5 "RW"
"81" 4.50728588214055 0.674664532637109 50 0.5 "RW"
"82" 3.71545384722103 0.573173875113692 50 0.5 "RW"
"83" 3.78708784209457 0.596387209063757 50 0.5 "RW"
"84" 3.42067001285748 0.563686810636328 50 0.5 "RW"
"85" 3.60590462805261 0.579028195877332 50 0.5 "RW"
"86" 3.23737935603529 0.547511238283887 50 0.5 "RW"
"87" 4.43694097307541 0.67592538427578 50 0.5 "RW"
"88" 4.12228382994296 0.647951061764636 50 0.5 "RW"
"89" 3.78414612421755 0.5754830906583 50 0.5 "RW"
"90" 3.20349672908127 0.522252955797829 50 0.5 "RW"
"91" 3.82103175521989 0.583246442288076 50 0.5 "RW"
"92" 3.47388917436008 0.571624417462175 50 0.5 "RW"
"93" 4.05920760151654 0.626162544483184 50 0.5 "RW"
"94" 3.79531597248585 0.559949040777061 50 0.5 "RW"
"95" 3.42546239628313 0.509800604037015 50 0.5 "RW"
"96" 4.21304760232097 0.673922203230247 50 0.5 "RW"
"97" 4.0978620937979 0.615578873726102 50 0.5 "RW"
"98" 3.62341531285265 0.556363565616493 50 0.5 "RW"
"99" 3.62245169086344 0.594334470342062 50 0.5 "RW"
"100" 3.91348658614444 0.601537023043642 50 0.5 "RW"
"101" 6.36033135322834 1.06733143342071 50 1 "RW"
"102" 6.82517181824552 1.07787111267352 50 1 "RW"
"103" 6.49553847517668 1.0564251016171 50 1 "RW"
"104" 6.44126926134934 1.03556682442787 50 1 "RW"
"105" 6.57670045488544 1.03781041522298 50 1 "RW"
"106" 6.8697208435529 1.08617034031755 50 1 "RW"
